City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Bremen;0;5.000.001 - 25.000.000;21339309;26;14;20 - 49;291;291;291;25;28;161;154;10;1783.9998874918797;2505.609457492071
Steinfurt;0;;;74;4;50 - 99;291;291;291;50;52;41;41;1;1884.4681502554804;2714.1979038735517
Magdeburg;0;;;83;28;20 - 49;291;290;291;28;29;188;187;6;1938.6510925642797;2245.828786542718
Leipzig;0;;;61;28;10 - 19;291;291;291;12;13;597;594;21;1602.1874306914792;2163.784785075606
Tamm;0;;;74;4;20 - 49;291;291;291;37;40;336;334;10;1931.8849081162798;2338.611263675344
Düsseldorf;0;5.000.001 - 25.000.000;8500000;59;14;20 - 49;291;291;291;27;27;869;857;59;2187.0538218491993;3103.6709760850813
Halle;0;500.001 - 2.500.000;2100000;73;20;20 - 49;291;290;291;35;37;209;206;9;2017.9116020674799;2108.8338413458787
Müncheberg;0;;;74;4;20 - 49;291;290;292;36;37;13;13;0;1914.2643224446801;2106.636580333347
Stuttgart;0;500.001 - 2.500.000;630000;56;14;10 - 19;291;290;291;10;13;749;727;51;1390.1812344527998;2381.7084303695633
Porta Westfalica;0;50.000.001 - 500.000.000;149400000;43;22;20 - 49;291;291;291;47;48;110;107;4;1774.37538695988;2772.726870044402
Reutlingen;0;;;42;14;20 - 49;291;291;291;40;40;210;205;12;2017.9116020674799;2668.2621366255053
Ilsenburg;0;;;83;4;10 - 19;290;292;292;14;16;18;18;0;1508.6837340766795;2399.911347414872
Asselfingen;0;;;74;4;10 - 19;291;292;291;10;10;49;48;3;1515.69552217548;1859.4191064266793
Kerpen;0;5.000.001 - 25.000.000;8000000;47;4;20 - 49;291;291;291;45;48;245;239;15;2639.0303102302796;3179.085811422571
Pinneberg;0;25.000.001 - 50.000.000;48699674;42;20;20 - 49;291;290;291;21;24;332;285;95;1942.6766780758794;2253.5481334825604
Ihringen;0;;;74;4;10 - 19;291;291;291;19;22;64;60;4;1866.2256885514803;2155.931945641614
Berlin;0;500.001 - 2.500.000;1954453;75;14;10 - 19;291;291;291;11;15;3181;3055;323;1575.4394457647995;2183.942054999564
St. Johann;0;;;74;4;20 - 49;291;292;291;40;42;97;92;9;1923.27838334748;2661.2031839459805
Großenseebach;0;;;74;4;10 - 19;291;290;291;15;17;104;103;2;1552.6451985202793;1816.7774077707295
Immenreuth;0;5.000.001 - 25.000.000;5160000;74;4;10 - 19;291;292;292;10;13;9;9;0;1553.0122427614804;1897.7301658222489
Stuttgart;0;100.001 - 250.000;250000;51;14;20 - 49;291;290;291;25;28;816;794;54;1733.7667603043992;1740.8671020352342
Burgebrach;0;;;74;4;20 - 49;291;292;291;40;41;28;28;0;1923.27838334748;2075.6286767041647
Marklkofen;0;;;74;4;20 - 49;291;292;290;20;24;14;14;0;1877.3855100154801;2496.3271431803196
Schwerin;0;500.001 - 2.500.000;625000;63;4;10 - 19;291;290;291;10;15;61;58;7;1225.0720338874798;1635.1187886933628
Fraureuth;0;;;74;4;10 - 19;291;290;290;15;19;101;101;4;1535.1376616554794;2398.845627788769
Nordheim;0;;;74;4;20 - 49;291;292;291;24;26;226;222;9;1931.8849081162798;2201.4533800120435
Freiburg;0;;;41;31;20 - 49;291;291;291;20;22;265;260;14;1911.8876668834796;1945.9293722465452
Hannover;0;500.001 - 2.500.000;1950000;55;14;10 - 19;291;290;290;12;16;760;749;31;1644.5168393327997;2390.669002098538
Kamenz;0;500.001 - 2.500.000;2400000;39;14;20 - 49;291;291;291;44;46;32;31;1;2009.30507729868;2389.5465459843117
Raesfeld;0;2.500.001 - 5.000.000;2900000;57;11;10 - 19;291;291;291;17;18;66;65;1;1812.8421621154803;2636.712892959714
Bremerhaven;0;5.000.001 - 25.000.000;13248400;47;14;10 - 19;291;291;291;11;11;69;67;4;1721.2965321574793;1798.55503394916
Freiburg;0;5.000.001 - 25.000.000;10929000;59;11;20 - 49;291;291;291;44;47;267;262;15;2079.3106965730794;3004.605223831411
Münster;0;2.500.001 - 5.000.000;3506103;40;14;20 - 49;291;290;290;32;37;145;144;8;2914.1653782142794;3842.671911520919
Velburg;0;;;74;4;20 - 49;291;292;292;35;39;8;8;0;1906.6728432046802;2869.0759469570767
Bechtsrieth;0;;;74;4;10 - 19;291;292;292;10;13;31;27;5;1506.68146127268;2212.245055844689
Lorup;0;2.500.001 - 5.000.000;3259750;57;11;20 - 49;291;292;292;28;31;11;11;0;1939.4444848486803;2778.4611254312877
Oberhausen;0;5.000.001 - 25.000.000;10900000;42;14;20 - 49;291;291;291;40;44;662;654;31;2140.9692173530793;3020.2586820628
Reichenbach;0;5.000.001 - 25.000.000;6100000;26;31;20 - 49;291;291;291;29;31;342;338;17;2079.3106965730794;2663.898259829757
Wolnzach;0;25.000.001 - 50.000.000;33000000;74;4;20 - 49;291;292;290;25;26;49;48;2;1750.9521454750802;2261.529723679643
Taufkirchen;0;5.000.001 - 25.000.000;5450000;42;16;20 - 49;291;291;291;43;45;586;575;35;2128.3507872730793;2393.3634070566845
Berlin;0;500.001 - 2.500.000;571897;25;14;10 - 19;291;291;291;10;12;;;;1254.92678350428;1492.8327591116736
Hamburg;0;;;82;28;10 - 19;291;290;291;11;11;294;252;72;1553.7096186394797;1991.9056555948487
Reutlingen;0;500.001 - 2.500.000;728000;55;14;10 - 19;291;290;290;10;13;197;193;11;1351.1298067642801;1975.176445082801
Duisburg;0;5.000.001 - 25.000.000;20755319;63;14;10 - 19;291;290;291;12;16;;;;1545.3550169362802;1745.7700588164435
Mainburg;0;5.000.001 - 25.000.000;9500000;42;13;20 - 49;291;291;291;31;31;22;22;0;2070.7041718042797;2676.4425539208837
Seeheim-Jugenheim;0;50.000.001 - 500.000.000;52458547;57;11;20 - 49;291;290;290;22;25;;;;1837.95457499988;2642.0632425193357
Nürnberg;0;5.000.001 - 25.000.000;15000000;47;11;20 - 49;291;290;291;35;36;;;;2345.03483933988;2772.8582784413857
Zeilarn;0;;;74;4;20 - 49;290;292;292;25;27;5;5;0;1914.2643224446801;2332.7963182989447
Wittelshofen;0;;;74;4;10 - 19;291;290;292;15;18;8;7;1;1527.4331336086796;1764.7262150178765
Bielefeld;0;500.001 - 2.500.000;1250000;36;14;10 - 19;291;291;291;10;14;233;224;19;1438.5051368602801;2290.29244970595
Münster;0;2.500.001 - 5.000.000;2857649;57;11;10 - 19;291;290;291;19;19;182;177;11;1900.01237572428;2362.896163808412
Elztal;0;;;74;4;20 - 49;291;290;292;40;44;34;33;2;1906.6728432046802;2862.7377134625544
Wolfschlugen;0;25.000.001 - 50.000.000;46476432;57;11;10 - 19;291;290;291;11;14;;;;1493.34729252108;1705.6564686192946
Gößnitz;0;;;74;4;20 - 49;291;291;290;40;43;82;79;6;1914.37737125148;2911.8729550589064
Salching;0;5.000.001 - 25.000.000;10761622;62;14;20 - 49;291;292;291;47;51;29;29;1;2120.537139112679;2302.4473370650408
Garching;0;2.500.001 - 5.000.000;2600000;42;14;20 - 49;291;291;291;32;34;500;483;35;2073.89448673548;2561.733050021245
Troisdorf;0;;;62;14;20 - 49;291;290;291;30;33;432;425;29;2066.9516927674795;3059.4012980817665
Kolkwitz;0;;;74;4;20 - 49;291;290;291;27;30;99;99;5;1923.27838334748;2770.5752830460165
Riederich;0;5.000.001 - 25.000.000;16718010;41;14;10 - 19;291;290;290;17;20;243;235;17;1835.6169879010795;2275.5903672801255
Schwerin;0;500.001 - 2.500.000;1650000;62;20;20 - 49;291;291;291;20;22;58;55;7;1918.84668032268;2714.921681548096
Vöhringen;0;;;74;4;20 - 49;290;290;292;25;26;24;23;1;1906.6728432046802;2788.7789744552
Kuppenheim;0;500.001 - 2.500.000;1000000;42;14;10 - 19;291;290;291;10;14;133;132;3;1360.03081886028;1916.892238201369
Hamburg;0;500.001 - 2.500.000;1600000;59;14;20 - 49;291;291;291;21;23;1682;1285;637;1842.5331982355992;2710.3766607861317
Mülheim-Kärlich;0;2.500.001 - 5.000.000;3639224;43;22;10 - 19;291;290;290;18;19;200;195;22;1969.2508973530803;2760.4923036163887
Berlin;0;5.000.001 - 25.000.000;5588500;53;16;20 - 49;291;291;291;30;33;2638;2520;292;1828.1762710091994;1991.0255513690224
Lützen;0;2.500.001 - 5.000.000;5000000;44;14;20 - 49;291;291;291;41;41;;;;3218.3000993122814;3908.4134943198974
Neustadt;0;2.500.001 - 5.000.000;3100000;10;3;10 - 19;291;290;291;19;23;22;22;1;1883.8143717154803;2406.2758837086076
Stuttgart;0;500.001 - 2.500.000;2290256;40;14;10 - 19;291;291;291;10;10;818;797;52;2571.7021107419996;3363.2066306756815
Weilheim;0;;;74;4;10 - 19;;;;15;18;19;18;2;1544.0386737514796;2465.0932840863143
Odelzhausen;0;5.000.001 - 25.000.000;5556347;57;11;20 - 49;291;290;291;48;49;37;37;0;1948.72493765628;2857.475005555546
Berlin;0;25.000.001 - 50.000.000;27791553;42;20;10 - 19;291;291;291;15;18;3053;2933;313;1431.3534808103996;1890.4567547467302
Garching;0;5.000.001 - 25.000.000;7000000;36;14;10 - 19;291;290;291;13;14;586;567;41;1721.6458467970788;1739.4679731286037
Potsdam;0;250.001 - 500.000;260000;72;14;20 - 49;291;291;291;26;28;296;287;17;1612.72465958148;2450.961024382951
Langenfeld;0;;;42;14;20 - 49;291;291;291;44;47;415;410;17;2017.9116020674799;2092.5751426388642
Volkertshausen;0;;;74;4;10 - 19;291;290;292;10;14;87;85;5;1506.68146127268;1626.447249145539
Wertach;0;;;74;4;10 - 19;291;292;292;15;20;21;20;2;1535.02461284868;2046.7274483553717
Trier;0;500.001 - 2.500.000;1000000;59;14;20 - 49;291;290;291;30;32;;;;1777.2776247274796;2240.8977276505807
Bielefeld;0;500.001 - 2.500.000;582401;55;14;10 - 19;291;290;291;10;13;214;208;17;1254.92678350428;1852.2233124856684
Krefeld;0;500.001 - 2.500.000;2500000;44;14;10 - 19;291;291;291;15;16;288;284;14;2111.8591724386806;2794.167668517245
Mörfelden-Walldorf;0;5.000.001 - 25.000.000;10000000;47;3;20 - 49;291;291;291;30;35;365;360;24;2645.7964946782795;3578.462211708374
Inning;0;2.500.001 - 5.000.000;4025000;42;14;20 - 49;291;292;291;20;21;92;92;2;2059.7177677642803;2798.2029026426567
Stuttgart;0;500.001 - 2.500.000;1870000;55;14;10 - 19;291;291;291;19;19;797;775;56;2072.8496176487997;2180.8131291555237
Umkirch;0;5.000.001 - 25.000.000;8200000;41;14;20 - 49;291;290;291;25;26;268;261;16;2005.2016467250796;2770.081792579023
Berlin;0;5.000.001 - 25.000.000;12962199;42;16;20 - 49;291;291;291;36;38;2872;2751;303;1757.6360232587992;2700.06695367217
München;0;500.001 - 2.500.000;614680;55;14;20 - 49;291;291;291;24;26;1745;1691;127;1707.3498963515992;2499.158284014215
Bonn;0;;;55;14;10 - 19;291;290;291;12;16;397;393;23;1553.1473399914798;2346.315942282362
Ölbronn-Dürrn;0;;;74;4;10 - 19;290;290;290;15;16;179;178;3;1543.7441864242794;1673.9064776601733
Mendig;0;2.500.001 - 5.000.000;4424930;39;14;20 - 49;291;291;290;45;48;;;;2154.4428633670796;2287.315276748828
Riesa;0;2.500.001 - 5.000.000;3500000;76;14;20 - 49;291;291;292;48;52;34;34;2;2053.83223975668;2330.5729879992964
Reichenbach;0;;;74;4;20 - 49;291;291;291;27;27;348;345;17;1939.47638735628;2908.427390519876
Bielefeld;0;500.001 - 2.500.000;1600000;47;16;10 - 19;291;291;291;12;15;239;230;20;1918.3282528054797;2202.2894409357964
Arnstadt;0;5.000.001 - 25.000.000;6500000;41;31;20 - 49;291;291;291;20;22;73;72;6;1953.4169624794797;2658.181057535966
Pfronstetten;0;;;74;4;20 - 49;291;292;292;20;22;9;9;0;1877.2724612086802;2644.7195599415336
Norderstedt;0;5.000.001 - 25.000.000;19500000;42;16;20 - 49;291;291;291;41;44;840;684;268;1898.5343715947993;2626.824172672247
Mainz;0;2.500.001 - 5.000.000;2681346;55;14;10 - 19;291;291;291;19;24;224;218;11;1998.0222847594805;2110.7012414289243
Lilienthal;0;2.500.001 - 5.000.000;2900000;66;14;10 - 19;291;290;291;11;14;;;;1557.6563095786796;1912.007220692114
Gräfenroda;0;;;74;4;20 - 49;291;290;292;29;32;63;63;5;1906.6728432046802;2892.5142989060732
Uttenreuth;0;;;74;4;50 - 99;291;291;290;50;55;141;139;9;1902.92306246028;2646.5219160085726
Schönefeld;0;25.000.001 - 50.000.000;30907720;62;3;10 - 19;291;291;291;14;18;436;426;23;1668.632662077479;2622.8281464470006
Köln;0;500.001 - 2.500.000;1500000;72;20;10 - 19;291;291;291;13;17;934;921;45;1991.8592188799996;2066.6348523686843
Krailling;0;;;74;4;20 - 49;291;290;291;30;34;814;792;59;2108.2484777723994;2985.996883694137
Sindelfingen;0;5.000.001 - 25.000.000;10220990;55;14;20 - 49;291;291;291;26;29;;;;2079.3106965730794;2635.6541734607504
Wiesenbach;0;;;74;4;20 - 49;291;291;291;30;31;199;198;6;1931.8849081162798;2678.576948866565
Iggensbach;0;;;74;4;10 - 19;291;292;292;10;13;7;6;1;1499.0899820326802;2328.4829152915736
Mainz;0;5.000.001 - 25.000.000;5988153;57;11;20 - 49;291;291;291;44;48;390;380;19;1997.7600687610798;2805.781999065044
Einbeck;0;500.001 - 2.500.000;2500000;38;18;20 - 49;291;291;291;35;38;21;20;2;2009.30507729868;2945.1148389696864
Siegen;0;5.000.001 - 25.000.000;11000000;63;14;20 - 49;291;291;291;32;35;91;86;10;2070.7041718042797;2220.6524648629647
Uhldingen-Mühlhofen;0;;;74;4;20 - 49;291;290;290;32;35;86;84;4;1914.37737125148;2218.3793808936753
Wiesbaden;0;50.000.001 - 500.000.000;109924000;22;14;20 - 49;291;291;291;46;48;380;371;18;1810.56629055588;2204.71937454873
Gaildorf;0;5.000.001 - 25.000.000;7000000;15;14;20 - 49;291;291;291;20;24;14;14;0;2014.9629110362798;2154.0211040131267
Bad Vilbel;0;5.000.001 - 25.000.000;6050000;55;14;20 - 49;291;291;290;49;53;695;673;63;2160.2808955330793;2943.9244328291884
Niederkrüchten;0;5.000.001 - 25.000.000;20000000;55;3;10 - 19;291;290;291;10;11;;;;1523.9857007770802;1719.0144947424512
Wolkenstein;0;;;74;4;10 - 19;291;292;290;16;20;115;113;11;1659.3694251442798;2407.2672208739878
Lüdenscheid;0;5.000.001 - 25.000.000;19000000;74;4;20 - 49;291;291;291;40;40;55;54;2;1792.8678403378804;1946.9602029259281
Ulm;0;;;16;14;20 - 49;291;291;291;40;42;222;218;7;1919.9016930322796;2897.09525155236
Freinsheim;0;;;57;11;20 - 49;291;291;291;24;26;114;113;6;1919.9016930322796;2660.5908812353346
Julbach;0;;;74;4;20 - 49;;;;20;24;;;;1894.8930468802796;2039.348742552362
Eningen;0;5.000.001 - 25.000.000;6500000;19;20;10 - 19;291;290;291;15;17;;;;1585.6832320690792;1843.9576902098224
Ried;0;;;74;4;20 - 49;291;292;291;30;34;111;110;6;1931.8849081162798;2607.5394462329837
Borken;0;;;78;28;20 - 49;291;291;291;42;43;81;81;1;2046.8877100666803;2499.052168760032
Kirchheimbolanden;0;5.000.001 - 25.000.000;13933481;63;14;20 - 49;291;290;290;42;43;23;23;0;1885.77616914588;2274.50781369583
Euskirchen;0;;;40;16;10 - 19;291;291;290;14;17;88;87;3;2313.5374639534803;2787.555936827665
Augsburg;0;100.001 - 250.000;200000;25;14;20 - 49;290;290;291;20;22;370;368;17;1445.5747581514802;1841.7997405820656
Hofheim;0;;;42;22;10 - 19;291;290;291;12;14;308;305;16;1633.23141872748;1885.0516112090659
Aachen;0;500.001 - 2.500.000;850000;83;28;10 - 19;291;290;291;13;13;346;344;12;1385.69244669708;1783.903536116502
Freudenberg;0;;;74;4;10 - 19;291;291;292;16;19;10;10;0;1643.0583723286802;2396.850902723334
Ulrichstein;0;500.001 - 2.500.000;1506036;57;11;10 - 19;291;292;291;17;21;2;2;0;1728.4977645334798;2108.374787926749
Düren;0;500.001 - 2.500.000;2100000;75;4;20 - 49;291;290;291;20;24;109;107;3;1974.15355638348;2449.653321916679
Heilbad Heiligenstadt;0;2.500.001 - 5.000.000;4633237;57;11;50 - 99;291;291;292;50;55;;;;1959.1379990662801;2731.118105845591
Wolpertshausen;0;5.000.001 - 25.000.000;24200000;27;20;20 - 49;291;292;292;49;50;32;31;1;1703.87611790028;2680.3377361841026
Hamburg;0;5.000.001 - 25.000.000;7706429;42;16;10 - 19;291;291;291;15;18;1428;1098;531;1687.9233549503988;2020.5718749727353
Hannover;0;;;72;14;20 - 49;291;291;291;25;26;734;723;32;2534.5134048108;2980.43739584864
Berlin;0;;;88;4;10 - 19;291;291;291;15;19;2841;2731;265;1425.8783375135993;1791.300497345395
Dornburg;0;;;57;11;10 - 19;291;292;290;17;19;32;32;0;1759.18629329148;1846.1879488696645
Westerkappeln;0;500.001 - 2.500.000;2400000;44;14;20 - 49;291;290;291;20;24;;;;3056.6369997586808;3457.763871606636
Cuxhaven;0;500.001 - 2.500.000;1832582;62;14;20 - 49;290;290;290;20;22;7;7;0;2075.0882263126796;2649.3160414019553
Hamburg;0;;;45;15;20 - 49;291;291;291;26;26;1672;1275;635;1804.281557396399;1944.4036527728379
Pasewalk;0;500.001 - 2.500.000;1300000;40;14;10 - 19;291;290;292;18;20;3;3;0;2376.3751050466803;3337.991896493635
Rottenburg;0;;;30;14;20 - 49;291;291;292;40;42;;;;2001.3060619246799;2277.9621468224123
Prackenbach;0;2.500.001 - 5.000.000;4200000;44;14;20 - 49;291;290;291;45;47;12;12;1;3403.3501036042817;3600.0156304017746
Augsburg;0;5.000.001 - 25.000.000;13578028;57;18;20 - 49;291;291;291;49;53;379;376;17;1857.9582615826798;2666.467154611398
Langenlonsheim;0;500.001 - 2.500.000;1600000;39;14;10 - 19;291;290;291;14;18;;;;1615.5740585662793;2445.864434373614
Herford;0;2.500.001 - 5.000.000;2800000;40;14;20 - 49;291;290;291;22;25;207;200;20;3270.7557725878796;3843.553975050213
Kölleda;0;;;74;4;20 - 49;291;292;290;48;49;32;32;1;1914.37737125148;2517.893086447544
Schwerin;0;;;78;28;20 - 49;291;291;291;26;29;61;58;7;2046.8877100666803;2089.6563336415797
München;0;500.001 - 2.500.000;2488508;65;14;20 - 49;291;290;291;28;30;1719;1665;124;1993.0210014155996;2331.8225527741943
Lohmar;0;5.000.001 - 25.000.000;6400000;42;14;20 - 49;291;291;291;26;28;;;;2079.3106965730794;2949.8910770754837
Hagen;0;2.500.001 - 5.000.000;4200000;42;14;10 - 19;291;291;291;16;17;410;401;18;1852.8596031850798;2820.0767079101056
Berlin;0;500.001 - 2.500.000;631000;72;20;20 - 49;291;291;291;45;47;1837;1765;170;1656.4701135935993;1924.028609448671
Salzgitter;0;2.500.001 - 5.000.000;3350000;24;31;20 - 49;291;290;290;30;35;63;63;3;2036.3868714874802;2618.6251294386357
Mendig;0;500.001 - 2.500.000;840000;40;14;10 - 19;291;290;290;10;11;78;77;10;1851.2200280974803;1927.278949182411
Bad Rappenau;0;500.001 - 2.500.000;2200000;42;14;10 - 19;291;290;291;12;17;127;124;6;1553.1473399914798;1679.9139534025321
Bodenwöhr;0;5.000.001 - 25.000.000;8980657;22;16;20 - 49;291;292;291;40;41;15;15;0;2070.7041718042797;2376.7577176479886
Eltville;0;5.000.001 - 25.000.000;5618440;57;11;20 - 49;291;290;290;38;39;;;;1964.9229416650796;2656.961160457608
Hamburg;0;5.000.001 - 25.000.000;5358000;59;3;20 - 49;291;290;291;37;39;1660;1276;620;1942.5640259171992;2927.295249251805
Stuttgart;0;5.000.001 - 25.000.000;11000000;40;14;20 - 49;291;291;291;45;49;691;673;36;3544.8324251662793;3980.243362054797
Löffingen;0;2.500.001 - 5.000.000;5000000;40;14;20 - 49;291;292;291;30;31;27;27;0;2972.7739594584;3371.630948339019
Kemberg;0;500.001 - 2.500.000;1100000;63;20;10 - 19;291;290;291;17;21;;;;1681.5872180602796;2490.176014324101
Kempten;0;5.000.001 - 25.000.000;22000000;42;14;20 - 49;291;291;290;48;48;56;54;4;2079.1206243790803;2276.448148460972
Karlsruhe;0;;;74;4;20 - 49;291;291;291;30;31;367;360;19;1931.8849081162798;2060.547679531521
Bad Camberg;0;5.000.001 - 25.000.000;10300000;10;14;20 - 49;291;291;290;48;51;56;56;1;1996.74502323228;2362.050744898693
Eisenberg;0;5.000.001 - 25.000.000;10000000;33;20;10 - 19;291;290;291;17;17;46;42;8;1845.94568111628;2367.3631095259925
Leinefelde-Worbis;0;500.001 - 2.500.000;2350000;63;14;10 - 19;291;290;291;15;20;;;;1611.2066615914796;2392.7194904912703
Herford;0;500.001 - 2.500.000;880000;72;16;20 - 49;291;290;291;29;31;198;189;19;1830.0795671014798;2749.752598282047
Sankt Augustin;0;5.000.001 - 25.000.000;7547558;42;16;20 - 49;291;291;291;20;25;426;423;29;2042.3188353370795;2969.0207334548904
Georgsmarienhütte;0;2.500.001 - 5.000.000;4300000;22;14;20 - 49;291;291;291;38;42;;;;2097.72467452908;2206.728141349461
Neumark;0;500.001 - 2.500.000;1982627;24;14;20 - 49;291;292;290;25;26;59;59;6;1975.2541688866802;2299.2853502691864
Frankfurt;0;2.500.001 - 5.000.000;4004097;40;14;20 - 49;291;291;291;49;50;842;818;74;3373.6389819432;4152.629162453357
Wasbek;0;5.000.001 - 25.000.000;12100000;42;14;20 - 49;291;290;291;44;47;56;53;10;1978.13389009908;2439.1362165663136
Steißlingen;0;500.001 - 2.500.000;1500000;56;14;10 - 19;291;291;292;11;16;;;;1502.9404075174803;1663.1833184189218
Doberschütz;0;5.000.001 - 25.000.000;5700000;1;11;20 - 49;291;292;290;35;38;30;30;0;2078.29565104428;2346.118285149374
Oberursel;0;;;32;14;20 - 49;291;291;291;23;27;723;704;59;2120.008336047479;2225.746558577139
Bad Berleburg;0;5.000.001 - 25.000.000;5700000;41;14;10 - 19;291;291;292;18;18;8;8;0;1918.06012163268;2626.556398058558
Berlin;0;5.000.001 - 25.000.000;5764110;42;11;20 - 49;291;291;291;25;26;2251;2163;207;1942.5640259171992;2352.161265147193
Nidderau;0;500.001 - 2.500.000;1200000;42;14;10 - 19;291;290;292;10;13;102;102;3;1413.2930719486803;2091.9380889119057
Usingen;0;2.500.001 - 5.000.000;2650000;25;14;20 - 49;291;291;290;22;27;62;62;3;2045.1589219306807;2792.403066447352
Frankleben;0;500.001 - 2.500.000;1400000;47;13;10 - 19;291;290;291;14;16;;;;1976.3875744054799;2174.3911746623926
Hamburg;0;5.000.001 - 25.000.000;11000000;61;13;20 - 49;291;291;291;20;24;1690;1295;635;1905.572164681199;2773.5296772990687
Hamburg;0;50.000.001 - 500.000.000;364170255;42;20;20 - 49;291;291;291;28;30;1689;1288;642;1742.2867314599994;2578.017813859004
Bayreuth;0;2.500.001 - 5.000.000;2761440;22;14;20 - 49;291;290;291;31;35;56;56;3;2035.3105344946805;2609.4570971635076
Schrobenhausen;0;5.000.001 - 25.000.000;5100000;24;14;20 - 49;291;290;291;41;42;20;20;0;2045.55427548828;2458.6782183307823
Osterode;0;500.001 - 2.500.000;882000;40;14;10 - 19;291;290;292;13;15;18;18;0;1771.1163840154804;2352.3715496625036
Herxheim;0;500.001 - 2.500.000;2150000;40;14;10 - 19;291;290;292;14;15;72;72;1;2381.26071538188;2672.2733841084178
Mannheim;0;2.500.001 - 5.000.000;3500000;40;16;20 - 49;291;291;291;37;37;545;533;40;3460.716202965479;4028.7325322300103
Salzkotten;0;2.500.001 - 5.000.000;3000000;39;16;10 - 19;291;290;291;10;15;45;43;2;1593.0627658894796;2561.1313454023357
Würzburg;0;2.500.001 - 5.000.000;3700000;55;16;20 - 49;291;290;291;38;40;166;163;8;2116.4740740610796;2715.3245341935444
Dorsten;0;;;43;16;20 - 49;291;291;291;36;40;217;215;11;1962.9712989394798;2254.4142442904176
Mainz;0;5.000.001 - 25.000.000;5200000;73;14;20 - 49;;;;35;40;372;356;27;2079.3106965730794;2707.8315489678344
München;0;2.500.001 - 5.000.000;5000000;55;14;20 - 49;291;291;291;35;37;1785;1729;129;2032.6448756291995;2345.250808021687
Heilbronn;0;;;74;4;20 - 49;291;291;291;45;48;221;218;8;1913.1355085842797;2896.865786632293
Oldenburg;0;5.000.001 - 25.000.000;7614618;65;14;20 - 49;291;291;291;30;32;107;106;2;2079.3106965730794;2788.2588019960604
Stuhr;0;;;42;14;20 - 49;291;291;291;20;24;236;228;18;1988.5112200714798;2545.674133665621
Großthiemig;0;500.001 - 2.500.000;1326717;47;4;10 - 19;291;292;292;13;14;21;20;2;1902.3449799058803;2637.997246684858
Dattenberg;0;5.000.001 - 25.000.000;6800000;66;14;20 - 49;291;290;291;36;38;96;95;7;2078.29565104428;3024.841572940742
Berlin;0;;;40;20;20 - 49;291;291;291;30;30;2287;2194;221;2625.827538273599;3498.3671899530855
Bad Kreuznach;0;100.001 - 250.000;160000;61;14;10 - 19;291;290;291;16;17;54;53;3;1469.9848628914801;2394.610410176818
Ratingen;0;500.001 - 2.500.000;1500000;69;14;10 - 19;291;291;291;17;21;671;663;43;1954.0340662114795;2641.0724237505847
Frankfurt;0;;;61;13;10 - 19;291;291;291;16;18;893;865;78;1881.4708000488;2316.993601273904
Kulmbach;0;5.000.001 - 25.000.000;6650000;70;14;10 - 19;291;291;292;17;19;44;43;5;1856.99055260148;2804.1092010636908
Andernach;0;2.500.001 - 5.000.000;4950000;22;14;20 - 49;291;290;290;20;24;117;113;15;2079.48221282508;2858.236330367166
Rosenheim;0;bis 100.000;30000;63;14;20 - 49;291;291;291;40;41;102;102;3;1478.2104224386803;2165.194444357094
Berlin;0;;;62;20;20 - 49;291;291;291;39;42;3147;3021;321;1928.9028198575988;2693.175560181042
Bergisch Gladbach;0;500.001 - 2.500.000;1341785;40;14;10 - 19;290;292;290;19;20;195;195;5;2595.69322266228;3349.1962412723947
Neuenmarkt;0;2.500.001 - 5.000.000;4270000;68;4;10 - 19;291;290;291;14;17;24;24;2;1701.98790360828;2102.1947095159694
Burgdorf;0;250.001 - 500.000;400000;81;20;10 - 19;291;292;291;13;16;54;54;0;1236.76091169228;1579.5721533861333
Rieseby;0;500.001 - 2.500.000;1503000;44;16;10 - 19;291;292;292;17;22;13;13;0;2297.75805439668;2407.298534726905
Kottenheim;0;5.000.001 - 25.000.000;8000000;39;14;20 - 49;291;290;292;39;39;46;45;5;2044.25024422548;2218.4595843996453
Passau;0;500.001 - 2.500.000;900000;61;4;10 - 19;291;291;290;15;15;15;14;1;1393.81641914748;1956.6212958898786
Braunschweig;0;2.500.001 - 5.000.000;3000000;63;14;20 - 49;291;291;291;45;48;210;208;4;2086.63578390828;2329.0629663779687
Mönchengladbach;0;2.500.001 - 5.000.000;3550000;55;14;10 - 19;291;290;291;19;20;;;;2014.4001306322798;2975.3156213985158
Ludwigshafen;0;;;78;28;20 - 49;291;291;291;20;21;513;501;36;2067.5424642994794;2607.062633794954
Leinefelde-Worbis;0;5.000.001 - 25.000.000;6661545;30;14;50 - 99;291;290;291;50;53;25;25;1;2031.89393871228;2037.5077309875846
Reutlingen;0;2.500.001 - 5.000.000;4383983;31;21;20 - 49;291;290;290;41;44;;;;2097.72467452908;2841.8335432061085
Bodenheim;0;500.001 - 2.500.000;600000;40;14;20 - 49;291;291;291;20;22;206;199;11;1910.6679542016002;2765.20822304082
Seesen;0;500.001 - 2.500.000;700000;40;4;10 - 19;291;290;291;10;10;9;9;0;1818.0003769054802;2456.3688193589687
